Étiquettes de mots;old20;pld20
abaca;2;1,9
abaissa;1,75;1,55
abaissai;1,85;1,5
abaissaient;1,9;1,5
abaissait;1,8;1,5
abaissant;3,5;2,9
abaissante;2,5;1,9
abaisse;3,2;2,8
abaissé;3,4;3,6
abaissée;3,4;3,6
abaissées;3,5;3,6
abaisse-langue;6,3;2,85
abaissent;1,85;1,4
abaisser;1,7;1,8
abaissèrent;2,45;1,85
abaisses;1,65;1,4
abaissés;3,5;3,6
abaissez;1,75;1,6
abaissons;1,95;1,65
abalone;2,8;2,15
abalones;2,75;2,15
abandon;2,6;1,95
abandonna;2;2
abandonnai;2,1;1,8
abandonnaient;2,85;1,8
abandonnais;2,35;1,8
abandonnait;2,35;1,8
abandonnâmes;3,1;2,45
abandonnant;2,45;2,1
abandonnas;1,9;2
abandonnât;2,35;2
abandonne;1,85;2,1
abandonné;4,3;3,6
abandonnée;4,3;3,6
abandonnées;4,4;3,6
abandonnent;2,35;2,1
abandonner;1,85;1,8
abandonnèrent;3,3;2,4
abandonneriez;3,15;3,5
abandonnerions;3,4;3,5
abandonnes;1,7;2,1
abandonnés;4,1;3,6
abandonneurs;2,75;2,4
abandonnez;2;1,8
abandonniez;2,55;2,35
abandonnions;2,85;2,25
abandonnique;3,8;2,5
abandonnons;2,5;2,05
abandons;2,3;1,95
abaque;2;1,55
abasourdi;5,9;6,2
abasourdie;5,9;6,2
abasourdir;3,2;3,35
abasourdis;6;6,2
abasourdissant;3,5;3,6
abasourdissants;4,1;3,6
abat;3,6;2
abatage;2,1;1,95
abâtardi;2,85;2,6
abâtardie;2,95;2,6
abâtardies;3,2;2,6
abâtardir;3,2;2,95
abâtardirai;3,7;3,4
abâtardissant;4,2;3,55
abatis;1,85;1,25
abat-jour;3,8;2,45
abats;3,5;2
abat-son;3,4;1,75
abattage;2,2;1,95
abattages;2,35;1,95
abattaient;1,95;1,3
abattais;1,75;1,3
abattait;1,65;1,3
abattant;3,4;2,7
abattants;2,3;1,35
abatte;1,65;1,2
abattent;1,8;1,2
abattes;1,7;1,2
abatteur;1,9;1,7
abatteurs;2,15;1,7
abattez;1,7;1,35
abattiez;1,9;1,75
abattions;1,95;1,7
abattirent;2,45;1,6
abattis;3,3;2,5
abattit;1,75;1,25
abattoir;2,35;1,9
abattoirs;2,45;1,9
abattons;1,8;1,2
abattra;1,75;1,6
abattrai;1,95;1,55
abattraient;2,45;1,55
abattrais;1,85;1,55
abattrait;1,75;1,55
abattras;1,75;1,6
abattre;1,65;1,1
abattrez;1,75;1,55
abattriez;2,5;2
abattrons;2,05;1,55
abattront;2,4;1,55
abattu;5,25;4,35
abattue;3,3;2,9
abattues;3,4;2,9
abattures;2,4;1,8
abattus;4,95;4,35
abbatial;3,5;2,5
abbatiale;6,8;5
abbatiales;3,5;2,5
abbaye;2,65;1,75
abbayes;2,75;1,75
abbé;1,95;1,15
abbés;1,95;1,15
abbesse;2,5;1,4
abbesses;2,65;1,4
abc;1,95;1,8
abcès;2,05;1,65
abdication;2,65;2,55
abdications;2,75;2,55
abdiqua;2,15;1,75
abdiquai;2,3;1,75
abdiquaient;2,65;1,75
abdiquais;2,45;1,75
abdiquait;2,3;1,75
abdiquant;2,45;1,8
abdique;1,75;1,75
abdiqué;2,3;1,8
abdiquée;2,4;1,8
abdiquer;2,25;1,8
abdiquez;2,3;1,8
abdomen;3;2,85
abdominal;3,3;3,5
abdominale;3,3;3,5
abdominales;3,45;3,5
abdominaux;7,4;6
abdos;1,95;1,9
abducteur;2,65;2,65
abduction;2,45;2,4
abécédaire;4,2;3,15
abeille;1,95;1,85
abeilles;2;1,85
aber;1,85;1,15
aberrant;4,1;3,5
aberrante;2,55;1,85
aberrantes;2,7;1,85
aberrants;2,65;1,75
aberration;2,85;2,4
aberrations;2,9;2,4
abêti;3,8;3,5
abêties;2,2;1,75
abêtir;2,35;1,85
abêtis;3,6;3,5
abêtissait;2,75;2,15
abêtit;2,25;1,75
abhorrais;2,7;1,75
abhorrait;2,7;1,75
abhorrant;2,7;1,65
abhorre;2,45;1,25
abhorré;5;3,4
abhorrée;5;3,4
abhorrer;2,55;1,7
abhorrés;2,5;1,7
abhorrez;2,55;1,7
abîma;1,9;1,5
abîmai;2,15;1,5
abîmaient;2,6;1,5
abîmait;2,35;1,5
abîmant;2,3;1,4
abîme;3,3;2,4
abîmé;1,85;1,5
abîmée;2;1,5
abîmées;2,15;1,5
abîment;2;1,2
abîmer;1,8;1,5
abîmes;3,5;2,4
abîmés;2;1,5
abîmez;2,05;1,5
abîmions;2,85;1,75
abîmons;2,4;1,55
abject;2,4;2,45
abjecte;2,1;2,45
abjectement;3,45;3,6
abjectes;2,45;2,45
abjection;2,5;2,5
abjections;2,55;2,5
abjects;2,4;2,45
abjurant;2,35;1,8
abjuration;2,6;2,75
abjurations;2,65;2,75
abjure;1,8;1,8
abjuré;1,95;1,8
abjurer;1,95;1,8
abjurez;2,3;1,8
abjurons;2,65;1,9
abkhaze;3,75;2
ablatif;2,4;2,4
ablation;2,15;1,9
ablations;2,2;1,9
able;1,6;1,05
ablette;1,8;1,8
ablettes;1,8;1,8
ablution;2,35;2,4
ablutions;2,3;2,4
abnégation;2,75;2,7
aboi;1,75;1,6
aboie;1,8;1,6
aboiement;2,55;1,95
aboiements;2,8;1,95
aboient;1,95;1,6
aboiera;2,15;1,75
aboierait;2,25;1,75
aboieront;2,4;1,75
aboies;1,85;1,6
abois;1,65;1,6
aboli;3,4;3,4
abolie;3,3;3,4
abolies;3,7;3,4
abolir;1,75;1,75
abolira;2,35;2,2
abolirait;2,7;2,1
aboliras;2,55;2,2
abolis;3,4;3,4
abolissaient;2,65;1,75
abolissais;2,75;1,75
abolissait;2,2;1,75
abolissant;2,35;1,85
abolissent;2,5;1,7
abolissions;2,85;2,45
abolissons;2,6;2,15
abolit;1,8;1,7
abolition;2,8;2,45
abolitionniste;8,9;9
abolitionnistes;9,5;9
abominable;3,35;3,4
abominablement;4,3;4,55
abominables;3,5;3,4
abominaient;2,9;2,4
abomination;3;2,9
abominations;3,05;2,9
abomine;2,15;1,9
abominer;2,6;2,2
abonda;1,8;1,75
abondai;1,8;1,75
abondaient;2,1;1,75
abondais;1,95;1,75
abondait;1,75;1,75
abondamment;3,45;2,75
abondance;2,75;2,25
abondant;3,4;3,4
abondante;2,15;2,15
abondantes;2,6;2,15
abondants;2,25;1,7
abondassent;3;2,1
abonde;1,65;1,7
abondé;1,75;1,75
abondent;1,9;1,7
abonder;1,8;1,75
abonnai;1,9;1,7
abonnant;1,9;1,85
abonnât;2,3;1,75
abonne;1,65;1,7
abonné;5,25;5,4
abonnée;5,25;5,4
